# Vertices
# Vertex ID, Square ID
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,28
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30

# Edges
# From, To, Distance
0,2,1218
0,9,324
0,14,1
0,22,1
0,24,1
0,25,1
0,27,1
0,28,1
1,14,1
1,16,1
1,29,1
2,19,1
2,28,1
2,30,1
3,15,1
4,5,2490
4,9,6983
4,11,1
4,26,1
5,27,1
5,29,1
6,12,1
6,13,1
6,19,1
6,29,1
7,16,1
7,17,1
7,20,1
7,21,1
7,22,1
7,25,1
7,27,1
7,28,1
7,29,1
8,1,1
8,21,1
8,24,1
8,25,1
9,18,1
9,20,1
10,17,1
10,21,1
10,26,1
10,30,1
11,14,1
11,22,1
12,14,1
12,16,1
12,19,1
12,22,1
12,29,1
13,25,1
13,26,1
13,30,1
14,16,1
14,20,1
14,23,1
14,26,1
14,27,1
15,16,1
15,18,1
15,23,1
15,26,1
15,29,1
17,30,1
19,21,1
19,28,1
19,30,1
20,22,1
20,26,1
21,25,1
22,26,1
22,27,1
23,24,1
25,30,1
27,29,1

# Source and Dest
S,19
D,26
